Arbol,Paraje,DAP,EDAD,SP
1,Chinatu,29.8,34,arizonica
2,Chinatu,24.5,33,arizonica
3,Chinatu,24.7,26,arizonica
4,Chinatu,16.2,31,arizonica
5,Chinatu,11.2,15,arizonica
6,Chinatu,23.4,45,arizonica
7,Chinatu,34.4,65,arizonica
8,Chinatu,31,44,arizonica
9,Chinatu,31,43,arizonica
10,Chinatu,37.3,72,arizonica
11,Chinatu,33.3,67,arizonica
12,Chinatu,36.6,140,arizonica
13,Chinatu,33.9,82,arizonica
14,Chinatu,36.2,92,arizonica
15,Chinatu,20.8,45,arizonica
16,Chinatu,9.8,26,arizonica
17,Chinatu,12.7,30,arizonica
18,Chinatu,18.1,40,arizonica
19,Chinatu,12.3,22,arizonica
20,Chinatu,29.6,115,arizonica
21,Chinatu,24.2,33,arizonica
22,Chinatu,27.8,33,arizonica
23,Chinatu,26.2,35,arizonica
24,Chinatu,27.7,31,arizonica
25,Chinatu,21.4,38,arizonica
26,Chinatu,23.5,37,arizonica
27,Chinatu,21.8,29,arizonica
28,Chinatu,28.9,34,arizonica
29,Chinatu,30.2,39,arizonica
30,Chinatu,44.5,85,arizonica
31,Laguna,27.4,59,arizonica
32,Laguna,19.5,29,arizonica
33,Laguna,20,24,arizonica
34,Laguna,22,40,arizonica
35,Laguna,34,50,arizonica
36,Laguna,33.1,44,arizonica
37,Laguna,32,44,arizonica
38,Laguna,10,17,arizonica
39,Laguna,14,15,arizonica
40,Laguna,11,16,arizonica
41,Laguna,21.6,23,arizonica
42,Laguna,11.2,14,arizonica
43,Laguna,8,18,arizonica
44,Laguna,22.1,22,arizonica
45,Laguna,10,20,arizonica
46,Laguna,16.8,20,arizonica
47,Laguna,17.9,22,arizonica
48,Laguna,26.1,40,arizonica
49,Laguna,7.7,15,arizonica
50,Laguna,11.3,25,arizonica
51,Laguna,13.5,26,arizonica
52,Laguna,10.7,28,arizonica
53,Laguna,17,34,arizonica
54,Laguna,20,33,arizonica
55,Laguna,24.7,46,arizonica
56,Laguna,21.9,42,arizonica
57,Laguna,25.2,39,arizonica
58,Laguna,28.9,43,arizonica
59,Laguna,29.2,44,arizonica
60,Laguna,12.6,29,arizonica
61,Tule,11.3,25,arizonica
62,Tule,13.5,26,arizonica
63,Tule,10.7,28,arizonica
64,Tule,17,34,arizonica
65,Tule,20,33,arizonica
66,Tule,24.7,46,arizonica
67,Tule,21.9,42,arizonica
68,Tule,25.2,39,arizonica
69,Tule,28.9,43,arizonica
70,Tule,29.2,44,arizonica
71,Tule,12.6,29,arizonica
72,Tule,20.3,30,arizonica
73,Tule,14.5,25,arizonica
74,Tule,10.1,22,arizonica
75,Tule,23.8,36,arizonica
76,Tule,31.5,51,arizonica
77,Tule,37.8,116,arizonica
78,Tule,59,128,arizonica
79,Tule,46.2,124,arizonica
80,Tule,49.4,115,arizonica
81,Tule,35.1,57,arizonica
82,Tule,20.1,40,arizonica
83,Tule,18.2,32,arizonica
84,Tule,19.8,41,arizonica
85,Tule,36.2,77,arizonica
86,Tule,23.5,48,arizonica
87,Tule,40.9,91,arizonica
88,Tule,16.6,38,arizonica
89,Tule,26,82,arizonica
90,Tule,19.4,52,arizonica
91,Trinidad,55.4,180,arizonica
92,Trinidad,28.3,70,arizonica
93,Trinidad,47.8,130,arizonica
94,Trinidad,23.6,25,arizonica
95,Trinidad,37.4,69,arizonica
96,Trinidad,40.1,60,arizonica
97,Trinidad,38.9,102,arizonica
98,Trinidad,42.5,148,arizonica
99,Trinidad,41.6,157,arizonica
100,Trinidad,40,154,arizonica
101,Trinidad,45.2,80,arizonica
102,Trinidad,42.1,97,arizonica
103,Trinidad,68.3,110,arizonica
104,Trinidad,64.5,154,arizonica
105,Trinidad,38.5,90,arizonica
106,Trinidad,38,97,arizonica
107,Trinidad,35,90,arizonica
108,Trinidad,33,65,arizonica
109,Trinidad,40,108,arizonica
110,Trinidad,50,120,arizonica
111,Trinidad,51,100,arizonica
112,Trinidad,50,110,arizonica
113,Trinidad,45.3,62,arizonica
114,Trinidad,45,65,arizonica
115,Trinidad,46.5,55,arizonica
116,Trinidad,45,55,arizonica
117,Trinidad,45.5,61,arizonica
118,Trinidad,46.1,63,arizonica
119,Trinidad,45.2,62,arizonica
120,Trinidad,40.5,63,arizonica
